"pl_name","pl_orbper","pl_rade","pl_bmasse","pl_insol","pl_eqt","st_teff","st_mass"
"Earth",365,1,1,1,288,5778,1
"Mars",687,0.532,0.107,0.431,210,5778,1
"Venus",225,0.949,0.815,1.92,737,5778,1
"Jupiter",4333,10.973,318,0.00599,165,5778,1
"Kepler-1638 b",259.3,1.87,4.16,1.39,312,5710,0.97
"Kepler-440 b",101,1.91,4.13,1.44,308,3813,0.57
"GJ 433 d",36.1,2.14,5.22,1.06,292,3600,0.467
"Kepler-1653 b",140.3,2.17,5.34,1.04,291,4771,0.719
"GJ 832 c",35.7,2.19,5.4,0.99,286,3657,0.437
"Kepler-705 b",56.1,2.11,5.09,0.77,269,3593,0.548
"Kepler-296 e",63.3,1.8,3.91,0.44,229,3572,0.454
"Trappist-1 e",6.1,0.92,0.69,0.65,258,2566,0.0898
"Kepler-442 b",112.3,1.35,2.36,0.7,263,4563,0.72
"K2-72 e",24.2,1.29,2.21,1.3,307,3498,0.309
"GJ 1061 d",13,1.15,1.64,0.69,247,3119,0.12
"GJ 1061 c",6.7,1.18,1.74,1.45,311,3119,0.12
"GJ 180 c",24.3,2.41,6.4,0.78,270,3562,0.41
"GJ 163 c",25.6,2.5,6.8,1.25,304,3529,0.42
"Kepler-1540 b",125.4,2.49,6.77,0.78,270,4366,0.676
"Kepler-174 d",247.4,2.19,5.43,0.59,252,4724,0.76
"Kepler-452 b",384.8,1.63,3.31,1.11,295,5578,1.02
"Kepler-62 e",122.3,1.61,4.595,1.15,298,4925,0.72
"Kepler-1652 b",38.1,1.6,3.18,0.84,276,3757,0.404
"Trappist-1 d",4,0.78,0.39,1.12,303,2566,0.0898
"Proxima Centauri b",11.2,1.08,1.27,0.7,257,3175,0.13
"GJ 667 C f",39,1.45,2.54,0.56,249,3650,0.33
"Kepler-62 f",267.3,1.41,4.46,0.41,230,4925,0.72
"Trappist-1 f",9.2,1.04,1.04,0.37,225,2566,0.0898
"GJ 3293 d",48.1,2.67,7.6,0.59,251,3466,0.43
"LHS 1140 b",24.7,1.64,6.38,0.36,222,3216,0.179
"GJ 229 A c",122,2.6,7.27,0.53,244,3710,0.51
"GJ 357 d",55.7,2.34,6.1,0.38,226,3615,0.346
"GJ 682 b",17.5,1.94,4.4,0.31,215,3237,0.29
"GJ 180 d",106.3,2.66,7.56,0.26,205,3562,0.42
"Wolf 1061 c",17.9,1.66,3.18,1.3,306,3393,0.301
"Kepler-1410 b",60.9,1.66,3.81,1.07,293,4031,0.594
"GJ 667 C c",28.1,1.77,3.81,0.88,278,3650,0.33
"Kepler-1544 b",168.8,1.78,3.81,0.84,276,4820,0.743
"Kepler-283 c",92.7,1.82,3.97,0.84,280,4351,0.69
"Kepler-22 b",289.9,2.38,6.9,1.1,294,5594,0.96
"Kepler-1701 b",169.1,2.22,5.56,1.42,314,5146,0.87
"K2-18 b",32.9,2.37,8.92,1.26,303,3503,0.413
"Kepler-1606 b",196.4,2.07,4.93,1.64,325,5402,0.921
"K2-9 b",18.4,2.25,5.69,1.45,316,3528,0.302
"K2-332 b",17.7,2.2,5.47,1.17,299,3296,0.265
"Kepler-155 c",52.7,2.24,5.66,1.05,291,4339,0.58
"TOI-2257 b",35.2,2.2,5.43,0.74,254,3446,0.328
"Kepler-443 b",177.7,2.35,6.04,0.89,279,4781,0.75
"Ross 128 b",9.9,1.11,1.4,1.48,317,3192,0.179
"GJ 273 b",18.6,1.51,2.89,1.06,292,3322,0.294
"Teegarden's Star b",4.9,1.02,1.05,1.15,298,2637,0.093
"TOI-700 d",37.4,1.14,1.57,0.87,278,3480,0.416
"Kepler-1649 c",19.5,1.06,1.2,1.23,303,3269,0.198
"HD 40307 g",197.8,2.57,7.09,0.67,256,4923,0.77
"Kepler-296 f",63.3,1.8,3.91,0.44,229,3572,0.454
"HIP 38594 b",60.7,2.77,8.1,1.34,308,3969,0.62
"K2-288 B b",31.4,1.91,4.26,0.44,234,3341,0.33
"HD 216520 c",154.4,3.04,9.44,1.28,305,5140,0.79
"Teegarden's Star c",11.4,1.04,1.11,0.37,225,2637,0.093
"Kepler-1229 b",86.8,1.4,2.54,0.32,217,3731,0.48
"Kepler-186 f",129.9,1.17,1.71,0.29,212,3876,0.52
"GJ 667 C e",39,1.45,2.54,0.56,249,3650,0.33
"Trappist-1 g",12.4,1.13,1.32,0.25,204,2566,0.0898
"CoRoTID 223977153 b",6.71837,6.389,47.6745,132.26,938,5970,1.08
"EPIC 220674823 b",0.571336,1.82,9,4293,2063,5496,0.92
"EPIC 220674823 c",13.3387,2.77,5.7,64,722,5496,0.92
"EPIC 246851721 b",6.180235,11.781,953.49,642,1401,6202,1.32
"EPIC 248847494 b",3650,12.442,4131.79,0.19,183,4898,0.9
"EPIC 249893012 b",3.5951,1.95,8.75,1037,1616,5430,1.05
"EPIC 249893012 c",15.624,3.67,14.67,160,990,5430,1.05
"EPIC 249893012 d",35.747,3.94,10.18,53,752,5430,1.05
"GJ 1214 b",1.58040433,2.742,8.17,21,596,3250,0.18
"GJ 3473 b",1.1980035,1.264,1.86,59.4,773,3347,0.36
"GJ 357 b",3.93072,1.217,1.84,12.6,525,3505,0.34
"GJ 3929 b",2.6162745,1.15,1.21,17.5,569,3369,0.31
"GJ 3929 b",2.616235,1.09,1.75,17.3,568,3384,0.31
"GJ 486 b",1.467119,1.305,2.82,40.3,701,3340,0.32
"GJ 9827 b",1.2089802,1.62,3.42,315,1172,4269,0.61
"GJ 9827 b",1.208966,1.58,3.69,256,1114,4219,0.64
"GJ 9827 c",3.648083,1.269,2.42,72,811,4269,0.61
"GJ 9827 c",3.64823,1.24,1.45,59,771,4219,0.64
"GJ 9827 d",6.20142,2.04,2.35,29,646,4219,0.64
"GJ 9827 d",6.201467,2.07,5.2,35.6,680,4269,0.61
"GPX-1 b",1.744579,16.477,6261.21962,4650,2300,7000,1.68
"HAT-P-25 b",3.65281514,12.722,180.84527,325,1182,5519,1.01
"HAT-P-29 b",5.72339,11.926,243.77561,433,1271,6115,1.2
"HAT-P-32 b",2.1500082,22.194,216.1244,1841,1836,6001,1.13
"HAT-P-36 b",1.3273466,15.211,611.82275,1821,1820,5560,1.05
"HAT-P-58 b",4.0138379,14.93,118.23217,1146,1622,6078,1.03
"HAT-P-59 b",4.1419771,12.588,489.45575,441.4,1278,5678,1.01
"HAT-P-60 b",4.7947813,18.282,182.43351,1634,1772,6212,1.44
"HAT-P-61 b",1.90231289,10.077,335.94463,849.5,1505,5587,1
"HAT-P-62 b",2.6453235,12.027,241.86742,867.2,1512,5629,1.02
"HAT-P-63 b",3.377728,12.543,195.14664,387.4,1237,5400,0.93
"HAT-P-64 b",4.007232,19.089,184.34048,1611,1766,6457,1.3
"HAT-P-68 b",2.29840551,12.016,230.10892,184.8,1028,4508,0.68
"HAT-P-9 b",3.92281072,15.614,238.05467,931,1540,6350,1.28
"HATS-17 b",16.254611,8.709,425.25654,72.7,814,5846,1.13
"HATS-18 b",0.8378434,14.986,629.3034,2990,2060,5600,1.04
"HATS-36 b",4.1752387,13.843,1022.14128,561,1356,6149,1.22
"HATS-37 A b",4.3315366,6.793,31.46517,229.7,1085,5326,0.84
"HATS-38 b",4.375021,6.882,23.51942,464.7,1294,5732,0.89
"HATS-47 b",3.9228038,12.52,117.27927,87.73,853,4512,0.67
"HATS-48 A b",3.1316666,8.967,77.23269,137.6,955,4546,0.73
"HATS-49 b",4.1480467,8.575,112.19399,80.45,835,4405,0.71
"HATS-59 b",5.416081,12.621,256.17098,269,1128,5670,1.04
"HATS-60 b",3.560829,12.924,210.40346,903.9,1528,5688,1.1
"HATS-61 b",7.817953,13.395,1080.622,374.2,1226,5542,1.08
"HATS-62 b",3.2768837,11.825,56.89157,387.4,1237,5416,0.9
"HATS-63 b",3.0566527,13.529,305.1168,634.1,1398,5627,0.93
"HATS-64 b",4.908897,18.82,305.1168,1711,1793,6554,1.56
"HATS-65 b",3.105161,16.825,260.93843,1178,1634,6277,1.26
"HATS-66 b",3.1414391,15.816,1694.0339,2637,1998,6626,1.41
"HATS-67 b",1.6091788,18.887,460.8535,3821,2193,6594,1.44
"HATS-68 b",3.5862202,13.809,410.0007,1521,1741,6147,1.35
"HATS-69 b",2.2252577,10.593,183.38791,466.6,1296,5137,0.89
"HATS-70 b",1.8882378,15.513,4100.007,9110,2730,7930,1.78
"HATS-72 b",7.3279474,8.097,39.85588,49.58,739,4656.1,0.73
"HATS-74 A b",1.73185606,11.568,464.02947,106.9,895,3776.9,0.6
"HATS-75 b",2.7886556,9.909,156.05375,59.26,772,3790.4,0.6
"HATS-76 b",1.9416423,12.094,835.57088,129.8,940,4016,0.66
"HATS-77 b",3.0876262,13.058,436.69623,78.37,828,4071,0.66
"HD 110113 b",2.541,2.05,4.55,735.49,1371,5732,1
"HD 136352 b",11.57779,1.482,4.62,114,911,5850,0.91
"HD 136352 b",11.57797,1.664,4.72,111.6,905,5664,0.87
"HD 136352 c",27.5909,2.608,11.29,36,682,5850,0.91
"HD 136352 c",27.59221,2.916,11.24,35.1,677,5664,0.87
"HD 136352 d",107.245,2.562,8.82,5.74,431,5664,0.87
"HD 1397 b",11.53533,11.5,131.89945,356,1228,5521,1.32
"HD 183579 b",17.471278,3.55,19.7,58.1,769,5788,1.03
"HD 189733 b",2.218577,12.543,370.58978,356,1209,5050,0.81
"HD 202772 A b",3.308958,17.318,323.23311,3440,2132,6272,1.72
"HD 207897 b",16.202159,2.501,14.4,26.5,632,5070,0.8
"HD 219134 b",3.092926,1.602,4.74,176.2,1015,4699,0.81
"HD 219134 c",6.76458,1.511,4.36,62.1,782,4699,0.81
"HD 219134 d",46.859,1.61,16.17,4.72,410,4699,0.81
"HD 219134 f",22.717,1.31,7.3,12.38,523,4699,0.81
"HD 23472 b",17.667087,2,8.32,16,543,4684,0.67
"HD 23472 c",29.79749,1.87,3.41,7.96,467,4684,0.67
"HD 23472 d",3.97664,0.75,0.55,117,909,4684,0.67
"HD 23472 e",7.90754,0.818,0.72,46.7,723,4684,0.67
"HD 23472 f",12.1621839,1.137,0.77,26.3,630,4684,0.67
"HD 260655 b",2.76953,1.24,2.14,42.2,709,3803,0.44
"HD 260655 c",5.70588,1.533,3.09,16.1,557,3803,0.44
"HD 332231 b",18.71204,9.718,77.55052,98.09,876,6089,1.13
"HD 5278 b",14.339156,2.45,7.8,132,943,6203,1.13
"HD 63935 b",9.058811,2.99,10.8,115.6,911,5534,0.93
"HD 63935 c",21.4023,2.9,11.1,36.7,684,5534,0.93
"HD 73583 b",6.398042,2.79,10.2,43.3,714,4511,0.73
"HD 73583 c",18.87974,2.39,9.7,10.2,498,4511,0.73
"HD 93963 A b",1.0391353,1.35,7.8,2898,2042,5987,1.11
"HD 93963 A c",3.6451398,3.228,19.2,543.8,1344,5987,1.11
"HD 95338 b",55.087,3.89,42.44,7.42,385,5212,0.83
"HIP 65 A b",0.9809734,22.754,1021.18779,661,1411,4590,0.78
"K2-100 b",1.6739035,3.88,21.8,1915,1841,5945,1.15
"K2-108 b",4.73401,5.28,59.4,762,1446,5474,1.12
"K2-114 b",11.3909311,10.447,638.8351,40,701,4920,0.86
"K2-140 b",6.569188,13.563,295.58042,204,962,5585,0.96
"K2-140 b",6.5693,12.274,323.86877,188.5,1114,5654,1
"K2-18 b",32.940045,2.61,8.63,1,255,3457,0.5
"K2-180 b",8.8665,2.242,11.44182,67,729,5110,0.71
"K2-182 b",4.7369683,2.69,20,146.9,969,5170,0.86
"K2-199 b",3.2253993,1.73,6.9,116.2,913,4491,0.71
"K2-199 c",7.3744897,2.85,12.4,38.6,694,4491,0.71
"K2-216 b",2.1748,1.75,8,248,1103,4503,0.7
"K2-237 b",2.18053539,16.197,433.20012,1860,1828,6360,1.26
"K2-24 b",20.8851,5.68,21,60,767,5743,1.12
"K2-24 c",42.3633,7.82,27,24,606,5743,1.12
"K2-25 b",3.48456408,3.44,24.5,9.91,494,3207,0.26
"K2-261 b",11.633478,9.528,59.75174,180,1046,5445,1.09
"K2-261 b",11.633478,9.505,67.69745,180,1030,5503,1.27
"K2-266 b",0.658524,3.3,11.26782,879.5,1515,4285,0.69
"K2-266 c",7.814,0.705,0.29013,32.4,664,4285,0.69
"K2-266 d",14.697,2.93,8.9,13.95,538,4285,0.69
"K2-266 e",19.482,2.73,14.3,9.58,490,4285,0.69
"K2-27 b",6.771315,4.48,30.9,116,902,5248,0.87
"K2-285 b",3.471745,2.59,9.68,234.31,1089,4975,0.83
"K2-285 c",7.138048,3.53,15.68,50.35,741,4975,0.83
"K2-285 d",10.45582,2.48,6.5,24.61,620,4975,0.83
"K2-285 e",14.76289,1.95,10.7,10.5,501,4975,0.83
"K2-292 b",16.9841,2.63,24.5,67,795,5725,1
"K2-32 b",8.99213,5.13,16.5,77.7,817,5275,0.86
"K2-32 c",20.6602,3.01,12.1,25.6,619,5275,0.86
"K2-32 d",31.7154,3.43,10.3,14.5,537,5275,0.86
"K2-329 b",12.4551225,8.676,82.6358,45.7,650,5282,0.9
"K2-36 b",1.422614,1.43,3.9,529,1224,4916,0.79
"K2-36 c",5.340888,3.2,7.8,90,788,4916,0.79
"K2-38 b",4.01593,1.55,12,465.9,1184,5757,1.07
"K2-38 c",10.56103,2.42,9.9,128.3,858,5757,1.07
"K2-39 b",4.60497,5.71,39.8,1356,1670,4912,1.19
"K2-66 b",5.06963,2.49,21.3,840,1372,5887,1.11
"KELT-10 b",4.1662739,15.681,215.80657,600,1377,5948,1.11
"KELT-11 b",4.736529,15.356,61.97685,1433,1712,5370,1.44
"KELT-12 b",5.031623,19.952,301.9385,1749,1800,6279,1.59
"KELT-18 b",2.8717518,17.598,375.0394,3152,2085,6670,1.52
"KELT-19 A b",4.6117093,21.409,1293.5681,2340,1935,7500,1.62
"KELT-20 b",3.4741085,19.515,1074.90106,4362.5,2262,8720,1.76
"KELT-21 b",3.6127647,17.777,1242.7153,2950,2051,7598,1.46
"KELT-23 A b",2.255251,14.83,298.12454,991.18,1561,5899,0.94
"KELT-24 b",5.5514926,14.258,1646.3594,750.9,1459,6509,1.46
"KELT-4 A b",2.9895932,19.044,286.68266,1840,1823,6206,1.2
"KELT-9 b",1.4811235,21.196,915.3504,44900,4050,10170,2.52
"KOI-4777.01",0.412,0.51,99.2,320,1180,3515,0.41
"KPS-1 b",1.706291,11.545,346.4347,729,1459,5165,0.89
"Kepler-1514 b",217.83184,12.42,1678.1424,3.23,388,6145,1.2
"Kepler-1654 b",1047.8356,9.18,158.915,0.3,206,5597,1.01
"Kepler-1661 b",175.06,3.87,17,0.88,243,5100,0.84
"Kepler-1704 b",988.88113,11.938,1318.98789,0.34,254,5745,1.13
"Kepler-538 b",81.73778,2.215,10.6,2.99,380,5547,0.89
"L 98-59 b",2.2531136,0.85,0.4,24.7,627,3415,0.27
"L 98-59 c",3.6906777,1.385,2.22,12.8,553,3415,0.27
"L 98-59 d",7.4507245,1.521,1.94,5.01,416,3415,0.27
"LHS 1140 b",24.736959,1.727,6.98,0.5,235,3216,0.18
"LHS 1140 b",24.73712,1.43,6.65,0.46,230,3131,0.15
"LHS 1140 c",3.777931,1.282,1.81,6.16,438,3216,0.18
"LP 890-9 b",2.7299025,1.32,13.2,4.09,396,2850,0.12
"LP 890-9 c",8.457463,1.367,25.3,0.91,272,2850,0.12
"LTT 1445 A b",5.3587657,1.305,2.87,5.4,424,3340,0.26
"LTT 1445 A c",3.1239035,1.147,1.54,10.9,508,3340,0.26
"LTT 3780 b",0.768377,1.35,2.34,116,1000,3360,0.38
"LTT 3780 b",0.768448,1.332,2.62,106,892,3331,0.4
"LTT 3780 c",12.252131,2.42,6.29,2.88,397,3360,0.38
"LTT 3780 c",12.2519,2.3,8.6,2.63,353,3331,0.4
"NGTS-1 b",2.647298,14.908,258.07796,65.3,790,3916,0.62
"NGTS-12 b",7.532806,11.747,66.10864,416,1257,5690,1.02
"NGTS-13 b",4.119027,12.801,1538.2972,1096,1605,5819,1.3
"NGTS-15 b",3.27623,12.33,238.68913,425,1146,5600,0.99
"NGTS-16 b",4.84532,14.572,211.99155,480,1177,5550,1
"NGTS-17 b",3.24253,13.899,242.8209,1160,1457,5650,1.02
"NGTS-18 b",3.05125,13.563,129.99182,845,1381,5610,1
"NGTS-8 b",2.4997,12.218,295.5819,503,1345,5241,0.89
"NGTS-9 b",4.43527,11.994,921.707,729,1448,6330,1.34
"Qatar-3 b",2.5079204,12.285,1369.8473,1330,1681,6007,1.15
"Qatar-4 b",1.8053564,12.722,1938.763,614,1385,5215,0.9
"Qatar-5 b",2.8792319,12.408,1373.0256,669,1415,5747,1.13
"TOI-1062 b",4.11296,2.265,10.15,232,1077,5328,0.94
"TOI-1064 b",6.443868,2.587,13.5,62.9,784,4734,0.75
"TOI-1064 c",12.226574,2.651,2.5,26.8,634,4734,0.75
"TOI-1107 b",4.0782387,14.572,1064.72516,532,1728,6311,1.35
"TOI-1201 b",2.4919863,2.415,6.28,40.6,703,3476,0.51
"TOI-1231 b",24.245586,3.65,15.4,1.93,330,3553,0.48
"TOI-1235 b",3.444717,1.694,5.9,60.3,775,3997,0.63
"TOI-1235 b",3.444729,1.738,6.91,53.6,754,3872,0.64
"TOI-1246 b",4.30744,3.01,8.1,196,955,5151,0.87
"TOI-1246 c",5.904144,2.51,8.8,129,860,5151,0.87
"TOI-1246 d",18.6559,3.51,5.3,28,586,5151,0.87
"TOI-1246 e",37.9216,3.78,14.8,11,462,5151,0.87
"TOI-125 b",4.65382,2.726,9.5,185,1037,5320,0.86
"TOI-125 c",9.15059,2.759,6.63,77.59,828,5320,0.86
"TOI-125 d",19.98,2.93,13.6,26.7,638,5320,0.86
"TOI-1260 b",3.12748,2.34,8.6,91,860,4227,0.66
"TOI-1260 c",7.49325,2.82,11.8,28.4,643,4227,0.66
"TOI-1266 b",10.894843,2.37,13.5,4.9,413,3600,0.45
"TOI-1266 b",10.894879,2.458,15.9,4.72,410,3573,0.44
"TOI-1266 c",18.80151,1.56,2.2,2.3,344,3600,0.45
"TOI-1266 c",18.80152,1.673,6.4,2.42,347,3573,0.44
"TOI-132 b",2.1097019,3.42,22.4,860,1395,5397,0.97
"TOI-1431 b",2.650237,16.701,991.62463,5300,2370,7690,1.9
"TOI-1452 b",11.06201,1.672,4.82,1.8,326,3185,0.25
"TOI-157 b",2.0845435,14.415,375.0394,1062,1588,5404,0.95
"TOI-1634 b",0.989343,1.79,4.91,121,924,3550,0.5
"TOI-1685 b",0.6691403,1.7,3.78,217,1069,3434,0.49
"TOI-169 b",2.2554477,12.173,251.40353,1443,1715,5880,1.15
"TOI-1696 b",2.50031,3.24,56.6,13.5,533,3168,0.27
"TOI-172 b",9.47725,10.817,1722.6386,299,1198,5645,1.13
"TOI-1728 b",3.49151,5.05,26.78,57.78,767,3980,0.65
"TOI-1759 b",18.85019,3.14,10.8,6.39,443,4065,0.61
"TOI-1789 b",3.208664,16.141,222.47988,2300,1927,5991,1.51
"TOI-1899 b",29.02,12.89,209.7678,2.9,362,3841,0.63
"TOI-2136 b",7.851928,2.19,6.37,4,395,3342,0.34
"TOI-2136 b",7.851925,2.2,4.7,4.82,378,3373,0.33
"TOI-2136 b",7.85191,2.09,15,4.4,403,3366,0.34
"TOI-216.01",34.556,11.29,200,10.1,497,5026,0.87
"TOI-216.02",17.089,7.69,30,25.9,628,5026,0.87
"TOI-2180 b",260.79,11.321,875.61726,2.71,348,5695,1.11
"TOI-2193 A b",2.1225735,19.84,298.7587,1600,1763,5966,1.08
"TOI-2196 b",1.1947268,3.51,26,2000,1860,5634,1.03
"TOI-2207 b",8.001968,11.153,203.41018,406,1259,6101,1.3
"TOI-2236 b",3.5315902,14.37,502.16888,1356,1688,6248,1.34
"TOI-2285 b",27.26955,1.74,19.5,1.54,284,3491,0.45
"TOI-2421 b",4.3474032,10.368,105.83686,923.6,1534,5607,1.13
"TOI-2567 b",5.983944,10.929,63.88351,558,1352,5611,1.13
"TOI-257 b",18.38818,7.163,43.86032,186,1027,6095,1.41
"TOI-2570 b",2.9887615,13.641,260.61929,699,1431,5771,1.06
"TOI-269 b",3.6977104,2.77,8.8,19,531,3514,0.39
"TOI-3331 A b",2.0180231,12.98,721.47048,818.5,1488,5609,1.02
"TOI-3540 A b",3.119999,23.539,375.03752,841.3,1498,5810,1.08
"TOI-3629 b",3.936551,8.295,82.63539,39,690,3870,0.63
"TOI-3693 b",9.088516,12.599,324.18498,68.6,801,5321,0.87
"TOI-3714 b",2.154849,11.321,222.47988,54,750,3660,0.53
"TOI-3757 b",3.438753,12,85.3,55.4,759,3913,0.64
"TOI-3884 b",4.5445697,6,16.5,7.42,463,3269,0.28
"TOI-4137 b",3.8016122,13.574,457.67291,1013,1570,6202,1.31
"TOI-421 b",5.19672,2.68,7.17,154.57,981,5325,0.85
"TOI-421 c",16.06819,5.09,16.42,34.32,674,5325,0.85
"TOI-500 b",0.548177,1.166,1.42,1138,1617,4440,0.74
"TOI-532 b",2.3266508,5.82,61.5,94.1,867,3927,0.64
"TOI-5542 b",75.12375,11.31,419.5335,9.6,441,5700,0.89
"TOI-564 b",1.651144,11.433,464.98529,1423,1714,5640,1
"TOI-674 b",1.977143,5.25,23.6,38.4,635,3514,0.42
"TOI-776 b",8.24661,1.85,4,11.5,514,3709,0.54
"TOI-776 c",15.6653,2.02,5.3,4.9,415,3709,0.54
"TOI-824 b",1.392978,2.926,18.467,412,1253,4600,0.71
"TOI-905 b",3.739494,13.126,211.99261,337,1192,5570,0.97
"TOI-954 b",3.6849729,9.55,55.30242,1393,1526,5710,1.2
"TOI-969 b",1.8237305,2.765,9.1,188,941,4435,0.73
"TRAPPIST-1 b",1.51087081,1.086,0.85,4.25,400,2559,0.08
"TRAPPIST-1 c",2.4218233,1.056,1.38,2.27,342,2559,0.08
"TRAPPIST-1 d",4.04961,0.772,0.41,1.14,288,2559,0.08
"TRAPPIST-1 e",6.099615,0.918,0.62,0.66,251,2559,0.08
"TRAPPIST-1 f",9.20669,1.045,0.68,0.38,219,2559,0.08
"TRAPPIST-1 g",12.35294,1.127,1.34,0.26,199,2559,0.08
"WASP-151 b",4.533471,12.666,98.5273,460,1290,5871,1.08
"WASP-153 b",3.332609,17.374,123.9537,1400,1700,5914,1.34
"WASP-156 b",3.836169,5.717,40.68224,150,970,4910,0.84
"WASP-161 b",5.4060425,12.812,791.3967,990,1557,6400,1.39
"WASP-163 b",1.6096884,13.473,594.3421,1200,1638,5500,0.97
"WASP-166 b",5.44354,7.062,32.10083,440,1270,6050,1.19
"WASP-170 b",2.34478022,12.285,508.528,680,1422,5600,0.93
"WASP-173 A b",1.3866529,14.404,1102.8701,1920,1842,5767,1.09
"WASP-174 b",4.2337005,16.107,104.88337,901.9,1528,6399,1.24
"WASP-178 b",3.3448412,21.745,448.1403,5550,2402,8640,1.93
"WASP-18 b",0.94145223,13.899,3241.84975,5805,2429,6432,1.29
"WASP-19 b",0.78883852,15.861,366.77398,3320,2113,5616,0.96
"WASP-2 b",2.152175,12.117,295.89973,492,1311,5180,0.9
"WASP-44 b",2.423804,12.33,276.5121,533,1337,5420,0.94
"WASP-45 b",3.126089,10.604,306.38812,294,1153,5150,0.85
"WASP-77 A b",1.36002854,13.787,529.81995,1440,1715,5617,0.9
"WD 1856+534 b",1.4079405,10.4,4386.054,0.18,163,4710,0.52
"XO-7 b",2.8641424,15.39,225.34147,1540,1743,6250,1.41
"pi Men c",6.2679,2.042,4.82,309,1170,6037,1.09
